18,bulk density,monitor,body,rear,,canada buffaloberry,solution,credit,issue,scour,,spring
19,cultivate varying,density,,,,cress,part,resources,ponding screw,functionality,,shoofly temporary
20,shag topographic,sp mound,,,,,shoofly,corporation saskatchewan,stoniness,irrigate,,
21,gentle slope,majority,,,,,resources,property,drainage,riparian,,
22,saobo,enhancement avoid,,,,,shovel compress,loreburn,well vegetated,function,,
23,structure aggregate,spray,,,,,traffic,important bird,inhibit recovery,topsoil salvageproc,,
24,inject,weed,,,,,cleaning,mile post,hillslope,nvc,,
25,physical resistance,competitive,,,,,therefore,discovery,methodology preliminary,wc wc,,
26,salvage,establish seedling,,,,,cleaning station,route mile,gully,via uniform,,
27,phase,specie,,,,,potential,conservation,ponding,bank approach,,
28,investigation site,appropriate situation,,,,,equipment,special status,slump,green alder,,
29,lift tl,establishment,,,,,instability fill,district altalis,three subcategorie,riparian planting,,
30,tl tier,nuisance,,,,,applicator,administration,sediment,nonfish bearing,,
31,obvious colour,purple,,,,,air quality,shoofly temporary,data collection,facility city,,
32,soil,mow,,,,,full wash,location,rilling,native,,
33,break level,unsuccessful,,,,,move,farm rehabilitation,due snow,wetland,,
34,alleviate compaction,mowed,,,,,,,programs,pipeline,,
35,texture,longterm,,,,,,,stone gravel,dam pump,,
36,severe,herbaceous,,,,,,,cf consistency,restored,,
37,paratille,air shovel,,,,,,,contour,hydrophytic,,
38,subsoil,white cockle,,,,,,,crown,channel,,
39,topography class,acims,,,,,,,rutting,proper functional,,
40,tier lift,special conservation,,,,,,,recommendation,pipe installation,,
41,salvage procedure,downy brome,,,,,,,subsidence,contain emergent,,
42,plant vigor,particularly trench,,,,,,,visual evaluation,mitig ation,,
43,reduced crop,namely,,,,,,,long wide,hydrological,,
44,crop growth,narrow workspace,,,,,,,erosion,flood,,
45,nearly level,invasive,,,,,,,cho,willow,,
46,notation level,chemical,,,,,,,silt fence,irrigation,,
47,sampling site,plant,,,,,,,slope,functional,,
48,,seedle,,,,,,,debris,sedge bulrush,,
49,,concern,,,,,,,point horizon,cross,,
50,,noxious,,,,,,,ponde,isolate trenched,,
51,,desirable specie,,,,,,,landscape,footprint avoidance,,
52,,common burdock,,,,,,,coarse fragment,hadd,,
53,,seral,,,,,,,minor,ripariancult,,
54,,scentless chamomile,,,,,,,rut,epi cromer,,
55,,rare plant,,,,,,,con slopeaspect,ntzs adjacent,,
56,,sna exotic,,,,,,,landscape feature,sa ska,,
57,,compare offrow,,,,,,,control,riprap,,
58,,absinthe,,,,,,,instability fill,maintain hydrology,,
59,,plain rough,,,,,,,quality quantity,row,,
60,,seedle planting,,,,,,,physical environment,stream,,
61,,decrease percent,,,,,,,nolf nolf,healthy,,
62,,poa pratensis,,,,,,,appropriately,flow,,
63,,uncommon,,,,,,,crop growth,deposition,,
64,,threat,,,,,,,excess coarse,successfully emerge,,
65,,seed catch,,,,,,,,native blend,,
66,,establish,,,,,,,,instream,,
67,,avoid artificial,,,,,,,,rainbow,,
68,,unique,,,,,,,,tributary dennis,,
69,,desirable,,,,,,,,crossing,,
70,,successional,,,,,,,,hydrology maintain,,
71,,andor aggressive,,,,,,,,,,
72,,introduction spread,,,,,,,,,,
73,,thistle,,,,,,,,,,
74,,prevention,,,,,,,,,,
75,,saraliste,,,,,,,,,,
76,,ecological,,,,,,,,,,
77,,growth,,,,,,,,,,
78,,ecological community,,,,,,,,,,
79,,undesirable,,,,,,,,,,
80,,specialist visit,,,,,,,,,,
81,,cress,,,,,,,,,,
82,,abundance,,,,,,,,,,
83,,wd woody,,,,,,,,,,
84,,interest,,,,,,,,,,
85,,compare,,,,,,,,,,
